id,text,language,category,subcategory,priority,duplicate_of
609,"फीस पेमेंट फेल हो गया लेकिन Rs. 1,200 मेरे अकाउंट से कट गया।",hi,Fees_Accounts,payment_transaction,3,
933,"Classroom ya lab ka furniture aur physical equipment damaged hai, repair chahiye.",hinglish,Infrastructure,classroom_lab_maintenance,2,
1323,कैंटीन के फूड काउंटर के पास कीड़े दिखे।,hi,Canteen,food_hygiene,2,
585,Scholarship application ke baare mein koi update nahi mila.,hinglish,Fees_Accounts,scholarship,2,
1452,A food item listed on the menu is repeatedly unavailable when students order it.,en,Canteen,food_service,2,
905,The projector in Block C ground floor classroom has been broken for 5 days.,en,Infrastructure,classroom_lab_maintenance,3,
834,Computer Networks के लिए संदर्भ पुस्तक लाइब्रेरी में उपलब्ध नहीं है।,hi,IT_Library,library_book_availability,3,
199,मेडिकल सर्टिफिकेट देने के बाद भी अटेंडेंस अपडेट नहीं हुई।,hi,Academics,attendance,2,
1471,Menu mein listed food item order karne par baar baar available nahi hota.,hinglish,Canteen,food_service,3,
21,"the elective course की क्लास और लैब का समय एक साथ है, टकराव हो रहा है।",hi,Academics,timetable_scheduling,1,
1344,Canteen ka seating area properly clean nahi ho raha hai.,hinglish,Canteen,food_hygiene,2,
860,I cannot access the online journal or digital library resource required for my course.,en,IT_Library,library_digital_resources,3,
498,My refund of Rs. 500 has been pending for two weeks.,en,Fees_Accounts,refund,3,
546,My scholarship status has not been updated on the portal for two weeks.,en,Fees_Accounts,scholarship,2,
106,आज क्लास में a visiting lecturer का व्यवहार सही नहीं था।,hi,Academics,faculty_conduct,2,
1217,Students travelling long distances have raised a safety or accessibility concern about reaching campus regularly.,en,Transport,travel_safety_access,3,
1048,Students are facing parking access problems because available parking space has been reduced.,en,Infrastructure,parking_access,3,
1348,Canteen ka seating area properly clean nahi ho raha hai.,hinglish,Canteen,food_hygiene,2,
963,the library building में बार-बार बिजली की समस्या से लैब सेशन बाधित हो रहे हैं।,hi,Infrastructure,electrical_issues,5,
299,Computer Networks के इंटरनल और एक्सटर्नल मार्क्स में अंतर है।,hi,Examinations,marks_discrepancy,2,
581,Scholarship application ke baare mein koi update nahi mila.,hinglish,Fees_Accounts,scholarship,2,
942,the main building 3rd floor classroom ka projector 10 days se kharab hai.,hinglish,Infrastructure,classroom_lab_maintenance,3,
953,"There is exposed wiring near Block C 3rd floor, which is unsafe.",en,Infrastructure,electrical_issues,5,
444,"Exam process se related administrative problem hai, marks ya timetable ka issue nahi hai.",hinglish,Examinations,examination_process,3,
1354,The price for a basic meal is too high compared to the quality offered.,en,Canteen,pricing,2,
69,Operating Systems की क्लास में छात्रों के डाउट्स ठीक से क्लियर नहीं किए जाते हैं।,hi,Academics,teaching_quality,2,
902,The projector in Block C ground floor classroom has been broken for 10 days.,en,Infrastructure,classroom_lab_maintenance,2,
1119,Ongoing construction se campus area ka normal use disturb ho raha hai.,hinglish,Infrastructure,construction_facility_disruption,3,
1351,The price for a basic meal is too high compared to the quality offered.,en,Canteen,pricing,1,
635,My financial receipt or payment record is missing from the student account.,en,Fees_Accounts,accounts_financial_documentation,3,
684,The portal shows an error every time I try to access my results.,en,IT_Library,portal_account_access,3,
865,I cannot access the online journal or digital library resource required for my course.,en,IT_Library,library_digital_resources,2,
246,पोर्टल से हॉल टिकट डाउनलोड नहीं हो रहा है।,hi,Examinations,hall_ticket,3,
441,"Exam process se related administrative problem hai, marks ya timetable ka issue nahi hai.",hinglish,Examinations,examination_process,2,
325,Please process my revaluation application for the Data Structures exam; it has been a week.,en,Examinations,revaluation,2,
478,"मुझसे सेमेस्टर फीस में Rs. 5,000 अतिरिक्त लिया गया है बिना किसी कारण के।",hi,Fees_Accounts,fee_discrepancy,3,
582,Meri scholarship status portal pe two weeks se update nahi hui hai.,hinglish,Fees_Accounts,scholarship,4,
341,"रीवैल्यूएशन एप्लीकेशन दिए हुए 3 days हो गए, कृपया प्रोसेस करें।",hi,Examinations,revaluation,3,
1552,The licensed software for the elective course lab has expired and needs renewal.,en,IT_Library,software_license,2,778
1352,Canteen prices were increased without any notice to students.,en,Canteen,pricing,1,
1216,Students travelling long distances have raised a safety or accessibility concern about reaching campus regularly.,en,Transport,travel_safety_access,4,
975,Block A में बार-बार बिजली की समस्या से लैब सेशन बाधित हो रहे हैं।,hi,Infrastructure,electrical_issues,4,
30,"AI/ML की क्लास और लैब का समय एक साथ है, टकराव हो रहा है।",hi,Academics,timetable_scheduling,2,
1076,Parking space kam hone ki wajah se students ko vehicle park karne mein problem ho rahi hai.,hinglish,Infrastructure,parking_access,3,
406,I have an administrative problem with the examination process that is not related to marks or the timetable.,en,Examinations,examination_process,2,
278,There is a mismatch between internal and external marks for Data Structures.,en,Examinations,marks_discrepancy,4,
1246,Far se travel karne wale students ne campus reach karne ko lekar safety ya accessibility concern raise kiya hai.,hinglish,Transport,travel_safety_access,3,
838,लाइब्रेरी की किताब मिलने में a week हो गए।,hi,IT_Library,library_book_availability,3,
1390,Canteen ki prices bina notice ke badha di gayi hain.,hinglish,Canteen,pricing,2,
1025,2nd floor corridor ke paas safai aur sanitation ki problem hai.,hinglish,Infrastructure,sanitation_cleanliness,3,
1232,दूर से आने वाले छात्रों ने कैंपस तक नियमित पहुंच को लेकर सुरक्षा या पहुंच संबंधी चिंता बताई है।,hi,Transport,travel_safety_access,3,
884,मेरे कोर्स के लिए जरूरी ऑनलाइन जर्नल या डिजिटल लाइब्रेरी संसाधन नहीं खुल रहा है।,hi,IT_Library,library_digital_resources,2,
474,"मुझसे सेमेस्टर फीस में Rs. 8,000 अतिरिक्त लिया गया है बिना किसी कारण के।",hi,Fees_Accounts,fee_discrepancy,4,
986,"Block C 3rd floor ke paas exposed wiring hai, ye unsafe hai.",hinglish,Infrastructure,electrical_issues,4,
428,परीक्षा प्रक्रिया से जुड़ी प्रशासनिक समस्या है जो मार्क्स या डेटशीट से संबंधित नहीं है।,hi,Examinations,examination_process,4,
544,My scholarship status has not been updated on the portal for 5 days.,en,Fees_Accounts,scholarship,3,
1040,Students are facing parking access problems because available parking space has been reduced.,en,Infrastructure,parking_access,4,
72,Operating Systems के कॉन्सेप्ट ठीक से समझाए नहीं जा रहे हैं और छात्रों को समझने में परेशानी हो रही है।,hi,Academics,teaching_quality,2,
1548,Canteen ki prices bina notice ke badha di gayi hain.,hinglish,Canteen,pricing,2,1390
1543,Medical certificate submit karne ke baad bhi attendance update nahi hui.,hinglish,Academics,attendance,1,213
654,मेरे स्टूडेंट अकाउंट में फीस रसीद या पेमेंट रिकॉर्ड दिखाई नहीं दे रहा है।,hi,Fees_Accounts,accounts_financial_documentation,3,
393,Exam datesheet doosre subject ke exam ke time ya date se clash kar rahi hai.,hinglish,Examinations,examination_schedule,2,
230,I am unable to download my hall ticket from the portal.,en,Examinations,hall_ticket,3,
355,"DBMS paper ka revaluation chahiye, marks galat lag rahe hain.",hinglish,Examinations,revaluation,3,
1508,I need a copy of my fee receipt and payment record for official documentation.,en,Fees_Accounts,accounts_financial_documentation,3,641
1313,There were insects near the food counter at the canteen.,en,Canteen,food_hygiene,2,
863,The e-library resource is not accessible with my student account.,en,IT_Library,library_digital_resources,1,
433,परीक्षा की प्रक्रिया में समस्या है और सही प्रक्रिया के बारे में मार्गदर्शन चाहिए।,hi,Examinations,examination_process,3,
713,Main 5 days se student portal mein login nahi kar pa raha.,hinglish,IT_Library,portal_account_access,2,
376,मेरी दो परीक्षाएं Operating Systems सहित एक ही दिन पर हैं।,hi,Examinations,examination_schedule,3,
1233,कॉलेज आने-जाने की यात्रा कुछ दूर रहने वाले छात्रों के लिए सुरक्षा या पहुंच की समस्या पैदा करती है।,hi,Transport,travel_safety_access,3,
1147,दूर से आने वाले Nalasopara के छात्रों के लिए रोज पूरा कॉलेज शेड्यूल करना मुश्किल हो रहा है।,hi,Transport,commuting_accessibility,3,
632,My financial receipt or payment record is missing from the student account.,en,Fees_Accounts,accounts_financial_documentation,4,
1316,The canteen seating area is not being cleaned properly.,en,Canteen,food_hygiene,2,
316,Please process my revaluation application for the DBMS exam; it has been 10 days.,en,Examinations,revaluation,2,
704,मैं 10 days से स्टूडेंट पोर्टल में लॉगिन नहीं कर पा रहा हूँ।,hi,IT_Library,portal_account_access,2,
251,पोर्टल से हॉल टिकट डाउनलोड नहीं हो रहा है।,hi,Examinations,hall_ticket,4,
1202,Current lecture timings Thalasari se long-distance travel karne wale students ke liye conflict create karti hain.,hinglish,Transport,transport_academic_conflict,2,
114,the HOD ने क्लास में छात्रों के साथ बहुत बुरा व्यवहार किया।,hi,Academics,faculty_conduct,1,
1157,Bhiwandi se daily travel ki wajah se students ke liye full college schedule follow karna difficult ho raha hai.,hinglish,Transport,commuting_accessibility,1,
1460,मेनू में मौजूद खाना ऑर्डर करने पर बार-बार उपलब्ध नहीं होता।,hi,Canteen,food_service,2,
429,परीक्षा प्रक्रिया से जुड़ी प्रशासनिक समस्या है जो मार्क्स या डेटशीट से संबंधित नहीं है।,hi,Examinations,examination_process,3,
133,the faculty ne class mein bohot rudely behave kiya students ke saath.,hinglish,Academics,faculty_conduct,2,
1545,Palghar se long commute ki wajah se students ko return train pakadne ke liye kabhi lecture early leave karna padta hai.,hinglish,Transport,transport_academic_conflict,3,1210
502,I still have not received my caution deposit refund after two weeks.,en,Fees_Accounts,refund,3,
304,Data Structures ke internal aur external marks mein mismatch hai.,hinglish,Examinations,marks_discrepancy,2,
25,"सभी विभागों का लंच ब्रेक एक साथ होने से कैंटीन में बहुत भीड़ होती है, ब्रेक टाइम बदला जाए।",hi,Academics,timetable_scheduling,2,
215,"the elective course mein meri attendance galat show ho rahi hai, main present tha.",hinglish,Academics,attendance,1,
1097,निर्माण कार्य से कॉलेज की एक सामान्य सुविधा तक पहुंच बाधित हो रही है।,hi,Infrastructure,construction_facility_disruption,2,
1204,Current lecture timings Boisar se long-distance travel karne wale students ke liye conflict create karti hain.,hinglish,Transport,transport_academic_conflict,2,
329,I want to request revaluation for my Computer Networks paper because the marks seem incorrect.,en,Examinations,revaluation,3,
1449,A food item listed on the menu is repeatedly unavailable when students order it.,en,Canteen,food_service,3,
758,Block C mein WiFi 5 days se kaam nahi kar raha hai.,hinglish,IT_Library,wifi_network,2,
152,Operating Systems का जरूरी सिलेबस अभी तक पूरा नहीं हुआ है।,hi,Academics,syllabus_course_progress,2,
599,"The fee payment failed but Rs. 5,000 was deducted from my account.",en,Fees_Accounts,payment_transaction,2,
344,"मुझे the elective course पेपर का रीवैल्यूएशन चाहिए, मार्क्स गलत लग रहे हैं।",hi,Examinations,revaluation,3,
1080,Parking space kam hone ki wajah se students ko vehicle park karne mein problem ho rahi hai.,hinglish,Infrastructure,parking_access,3,
85,"Professor AI/ML ke concepts clearly explain nahi kar rahe, samajhne mein problem ho rahi hai.",hinglish,Academics,teaching_quality,3,
1366,बेसिक खाने की कीमत क्वालिटी के मुकाबले बहुत ज्यादा है।,hi,Canteen,pricing,3,
574,Meri scholarship status portal pe 3 days se update nahi hui hai.,hinglish,Fees_Accounts,scholarship,2,
396,Exam datesheet doosre subject ke exam ke time ya date se clash kar rahi hai.,hinglish,Examinations,examination_schedule,4,
818,The reference book for DBMS is not available in the library.,en,IT_Library,library_book_availability,2,
1274,I found the food undercooked and cold at the canteen today.,en,Canteen,food_quality,2,
1058,कॉलेज में छात्रों के दोपहिया वाहनों के लिए पर्याप्त पार्किंग की जगह नहीं है।,hi,Infrastructure,parking_access,3,
73,Data Structures के कॉन्सेप्ट ठीक से समझाए नहीं जा रहे हैं और छात्रों को समझने में परेशानी हो रही है।,hi,Academics,teaching_quality,1,
943,the new wing 3rd floor classroom ka projector 3 days se kharab hai.,hinglish,Infrastructure,classroom_lab_maintenance,3,
1132,Students travelling from Virar spend three hours commuting to college every day and need better accessibility consideration.,en,Transport,commuting_accessibility,2,
1528,I have been waiting two weeks for a library book to be issued.,en,IT_Library,library_book_availability,1,821
254,मेरे हॉल टिकट में सीट नंबर गलत है Data Structures परीक्षा के लिए।,hi,Examinations,hall_ticket,3,
279,The marks uploaded for AI/ML do not match what was shown on the answer sheet.,en,Examinations,marks_discrepancy,3,
1215,Bhiwandi se long commute ki wajah se students ko return train pakadne ke liye kabhi lecture early leave karna padta hai.,hinglish,Transport,transport_academic_conflict,2,
1226,The journey to and from campus creates an access or safety concern for some students who travel from far away.,en,Transport,travel_safety_access,3,
647,मेरे स्टूडेंट अकाउंट में फीस रसीद या पेमेंट रिकॉर्ड दिखाई नहीं दे रहा है।,hi,Fees_Accounts,accounts_financial_documentation,3,
712,Result dekhne ki koshish karne pe portal error deta hai.,hinglish,IT_Library,portal_account_access,2,
342,"रीवैल्यूएशन एप्लीकेशन दिए हुए 3 days हो गए, कृपया प्रोसेस करें।",hi,Examinations,revaluation,3,
98,a visiting lecturer was rude to students during the Operating Systems lecture.,en,Academics,faculty_conduct,3,
1175,The current lecture timings create a conflict for students travelling long distances from Boisar.,en,Transport,transport_academic_conflict,3,
583,Meri scholarship status portal pe 5 days se update nahi hui hai.,hinglish,Fees_Accounts,scholarship,4,
366,The exam datesheet has a timing or date conflict with another subject's exam.,en,Examinations,examination_schedule,4,
1103,चल रहे निर्माण कार्य से कैंपस क्षेत्र का सामान्य उपयोग प्रभावित हो रहा है।,hi,Infrastructure,construction_facility_disruption,3,
1470,मेनू में मौजूद खाना ऑर्डर करने पर बार-बार उपलब्ध नहीं होता।,hi,Canteen,food_service,1,
775,The licensed software for Data Structures lab has expired and needs renewal.,en,IT_Library,software_license,2,
1468,कैंटीन में सामान्य समय पर खाना सर्व करने की प्रक्रिया बहुत धीमी है।,hi,Canteen,food_service,2,
1343,Canteen ke food counter ke paas insects dikhe.,hinglish,Canteen,food_hygiene,1,
559,मेरी स्कॉलरशिप स्थिति पोर्टल पर 5 days से अपडेट नहीं हुई है।,hi,Fees_Accounts,scholarship,2,
893,Course ke liye required online journal ya digital library resource access nahi ho raha.,hinglish,IT_Library,library_digital_resources,1,
1458,कैंटीन में सामान्य समय पर खाना सर्व करने की प्रक्रिया बहुत धीमी है।,hi,Canteen,food_service,1,
1322,कैंटीन के फूड काउंटर के पास कीड़े दिखे।,hi,Canteen,food_hygiene,3,
792,"Computer Networks लैब का लाइसेंस्ड सॉफ्टवेयर एक्सपायर हो गया है, रिन्यू चाहिए।",hi,IT_Library,software_license,3,
1099,चल रहे निर्माण कार्य से कैंपस क्षेत्र का सामान्य उपयोग प्रभावित हो रहा है।,hi,Infrastructure,construction_facility_disruption,3,
1327,कैंटीन का बैठने का क्षेत्र ठीक से साफ नहीं किया जा रहा है।,hi,Canteen,food_hygiene,3,
1416,"कैंटीन का मेनू महीनों से नहीं बदला, हमें और विविधता चाहिए।",hi,Canteen,menu_variety,2,
249,मेरे हॉल टिकट में सीट नंबर गलत है Operating Systems परीक्षा के लिए।,hi,Examinations,hall_ticket,3,
497,"My refund of Rs. 8,000 has been pending for two weeks.",en,Fees_Accounts,refund,3,
307,AI/ML ke marks jo upload hue hain wo answer sheet se match nahi karte.,hinglish,Examinations,marks_discrepancy,3,
48,The professor is not explaining Computer Networks concepts clearly and students are struggling to understand.,en,Academics,teaching_quality,2,
319,Please process my revaluation application for the Operating Systems exam; it has been two weeks.,en,Examinations,revaluation,3,
528,5 days baad bhi caution deposit refund nahi mila.,hinglish,Fees_Accounts,refund,4,
126,the HOD ne class mein bohot rudely behave kiya students ke saath.,hinglish,Academics,faculty_conduct,2,
452,"I was charged Rs. 1,200 extra in my semester fee without explanation.",en,Fees_Accounts,fee_discrepancy,4,
1069,Parking space kam hone ki wajah se students ko vehicle park karne mein problem ho rahi hai.,hinglish,Infrastructure,parking_access,3,
144,The DBMS syllabus is not progressing as planned and important portions are still incomplete.,en,Academics,syllabus_course_progress,2,
992,Washrooms in the library building are not being cleaned regularly.,en,Infrastructure,sanitation_cleanliness,3,
1497,the main building 4th floor classroom ka projector two weeks se kharab hai.,hinglish,Infrastructure,classroom_lab_maintenance,2,936
1362,The price for a basic meal is too high compared to the quality offered.,en,Canteen,pricing,1,
832,AI/ML के लिए संदर्भ पुस्तक लाइब्रेरी में उपलब्ध नहीं है।,hi,IT_Library,library_book_availability,2,
719,Result dekhne ki koshish karne pe portal error deta hai.,hinglish,IT_Library,portal_account_access,2,
1038,Students are facing parking access problems because available parking space has been reduced.,en,Infrastructure,parking_access,3,
1066,Parking space kam hone ki wajah se students ko vehicle park karne mein problem ho rahi hai.,hinglish,Infrastructure,parking_access,2,
688,I am unable to log into the student portal for two weeks.,en,IT_Library,portal_account_access,3,
50,The professor is not explaining the elective course concepts clearly and students are struggling to understand.,en,Academics,teaching_quality,1,
1126,Students travelling from Boisar spend three hours commuting to college every day and need better accessibility consideration.,en,Transport,commuting_accessibility,2,
811,I have been waiting two weeks for a library book to be issued.,en,IT_Library,library_book_availability,3,
190,Attendance was not updated even after submitting a medical certificate.,en,Academics,attendance,2,
1405,There are very few options for students with dietary restrictions.,en,Canteen,menu_variety,2,
741,the new wing में वाईफाई a week से काम नहीं कर रहा है।,hi,IT_Library,wifi_network,2,
60,Students are unable to get their doubts addressed properly during DBMS lectures.,en,Academics,teaching_quality,2,
125,a visiting lecturer ne class mein bohot rudely behave kiya students ke saath.,hinglish,Academics,faculty_conduct,2,
790,"Data Structures लैब का लाइसेंस्ड सॉफ्टवेयर एक्सपायर हो गया है, रिन्यू चाहिए।",hi,IT_Library,software_license,1,
1492,Menu mein listed food item order karne par baar baar available nahi hota.,hinglish,Canteen,food_service,2,1482
501,My refund of Rs. 500 has been pending for 10 days.,en,Fees_Accounts,refund,3,
508,"My refund of Rs. 5,000 has been pending for 10 days.",en,Fees_Accounts,refund,2,
862,I cannot access the online journal or digital library resource required for my course.,en,IT_Library,library_digital_resources,2,
767,The licensed software for Data Structures lab has expired and needs renewal.,en,IT_Library,software_license,2,
92,the faculty was rude to students during the Computer Networks lecture.,en,Academics,faculty_conduct,2,
193,Attendance was not updated even after submitting a medical certificate.,en,Academics,attendance,3,
861,I cannot access the online journal or digital library resource required for my course.,en,IT_Library,library_digital_resources,2,
1129,Long-distance commuting is making it difficult for students from Virar to attend the full college schedule regularly.,en,Transport,commuting_accessibility,3,
623,Transaction fail hone ki wajah se fee payment complete nahi ho raha.,hinglish,Fees_Accounts,payment_transaction,2,
87,"Professor DBMS ke concepts clearly explain nahi kar rahe, samajhne mein problem ho rahi hai.",hinglish,Academics,teaching_quality,2,
1493,मेडिकल सर्टिफिकेट देने के बाद भी अटेंडेंस अपडेट नहीं हुई।,hi,Academics,attendance,2,208
285,The marks uploaded for Operating Systems do not match what was shown on the answer sheet.,en,Examinations,marks_discrepancy,2,
1520,Course ke liye required online journal ya digital library resource access nahi ho raha.,hinglish,IT_Library,library_digital_resources,3,897
513,"मेरा Rs. 8,000 का रिफंड a week से पेंडिंग है।",hi,Fees_Accounts,refund,3,
994,There is a sanitation and cleanliness problem near the 2nd floor corridor.,en,Infrastructure,sanitation_cleanliness,3,
1539,The marks uploaded for the elective course do not match what was shown on the answer sheet.,en,Examinations,marks_discrepancy,3,272
1280,कैंटीन में खाने की क्वालिटी इस महीने काफी गिर गई है।,hi,Canteen,food_quality,1,
1114,Construction work ki wajah se common college facility ka access block ho raha hai.,hinglish,Infrastructure,construction_facility_disruption,3,
1345,Canteen ke food counter ke paas insects dikhe.,hinglish,Canteen,food_hygiene,2,
876,मेरे स्टूडेंट अकाउंट से ई-लाइब्रेरी संसाधन एक्सेस नहीं हो रहा है।,hi,IT_Library,library_digital_resources,2,
1422,"कैंटीन का मेनू महीनों से नहीं बदला, हमें और विविधता चाहिए।",hi,Canteen,menu_variety,2,
1329,कैंटीन का बैठने का क्षेत्र ठीक से साफ नहीं किया जा रहा है।,hi,Canteen,food_hygiene,2,
638,My financial receipt or payment record is missing from the student account.,en,Fees_Accounts,accounts_financial_documentation,3,
1477,Canteen mein normal service time par food serving bohot slow hai.,hinglish,Canteen,food_service,2,
1370,कैंटीन की कीमतें बिना किसी सूचना के बढ़ा दी गईं।,hi,Canteen,pricing,2,
504,"My refund of Rs. 8,000 has been pending for 5 days.",en,Fees_Accounts,refund,3,
850,Library book issue hone mein a week ho gaye.,hinglish,IT_Library,library_book_availability,2,
3,Two lectures for the elective course and another subject are scheduled at the same time.,en,Academics,timetable_scheduling,3,
736,the library building में वाईफाई 3 days से काम नहीं कर रहा है।,hi,IT_Library,wifi_network,3,
532,"Mera Rs. 8,000 ka refund 5 days se pending hai.",hinglish,Fees_Accounts,refund,3,
259,Portal se hall ticket download nahi ho raha hai.,hinglish,Examinations,hall_ticket,3,
31,"Sab departments ka lunch break same hai, canteen mein bohot crowd hota hai, break timing review karo.",hinglish,Academics,timetable_scheduling,2,
1182,"Because of the long commute from Nalasopara, students sometimes have to leave lectures early to catch their return train.",en,Transport,transport_academic_conflict,2,
694,रिजल्ट देखने की कोशिश करने पर पोर्टल एरर दिखाता है।,hi,IT_Library,portal_account_access,2,
1334,कैंटीन का बैठने का क्षेत्र ठीक से साफ नहीं किया जा रहा है।,hi,Canteen,food_hygiene,2,
415,I have an administrative problem with the examination process that is not related to marks or the timetable.,en,Examinations,examination_process,3,
968,"Block C 3rd floor के पास खुली वायरिंग है, यह असुरक्षित है।",hi,Infrastructure,electrical_issues,4,
662,Official documentation ke liye fee receipt aur payment record ki copy chahiye.,hinglish,Fees_Accounts,accounts_financial_documentation,4,
286,the elective course के लिए अपलोड किए गए मार्क्स आंसर शीट से मेल नहीं खाते।,hi,Examinations,marks_discrepancy,3,
1184,The current lecture timings create a conflict for students travelling long distances from Virar.,en,Transport,transport_academic_conflict,1,
61,AI/ML के कॉन्सेप्ट ठीक से समझाए नहीं जा रहे हैं और छात्रों को समझने में परेशानी हो रही है।,hi,Academics,teaching_quality,3,
1061,पार्किंग की जगह कम होने से छात्रों को वाहन पार्क करने में समस्या हो रही है।,hi,Infrastructure,parking_access,2,
1437,Dietary restriction wale students ke liye bohot kam options hain.,hinglish,Canteen,menu_variety,2,
1406,"The canteen menu has not changed in months, and students want more variety.",en,Canteen,menu_variety,2,
925,the library building 4th floor की क्लास का प्रोजेक्टर 5 days से खराब है।,hi,Infrastructure,classroom_lab_maintenance,2,
420,There is an issue with the examination procedure and I need guidance on the correct process.,en,Examinations,examination_process,3,
1008,Block B के वॉशरूम नियमित रूप से साफ नहीं किए जा रहे हैं।,hi,Infrastructure,sanitation_cleanliness,3,
1504,Computer Networks lecture mein doubts properly address nahi hote.,hinglish,Academics,teaching_quality,2,81
1228,Students travelling long distances have raised a safety or accessibility concern about reaching campus regularly.,en,Transport,travel_safety_access,3,
77,"Professor Operating Systems ke concepts clearly explain nahi kar rahe, samajhne mein problem ho rahi hai.",hinglish,Academics,teaching_quality,2,
164,Data Structures का जरूरी सिलेबस अभी तक पूरा नहीं हुआ है।,hi,Academics,syllabus_course_progress,2,
1179,"Because of the long commute from Virar, students sometimes have to leave lectures early to catch their return train.",en,Transport,transport_academic_conflict,2,
1172,The current lecture timings create a conflict for students travelling long distances from Bhiwandi.,en,Transport,transport_academic_conflict,3,
32,"the elective course ka lecture aur lab dono same time pe hai, clash ho raha hai.",hinglish,Academics,timetable_scheduling,2,
1082,Ongoing construction is disrupting normal use of the campus area.,en,Infrastructure,construction_facility_disruption,2,
141,The Data Structures syllabus is not progressing as planned and important portions are still incomplete.,en,Academics,syllabus_course_progress,1,
944,the new wing 4th floor classroom ka projector 10 days se kharab hai.,hinglish,Infrastructure,classroom_lab_maintenance,3,
468,"फीस रसीद और पोर्टल राशि में Rs. 8,000 का अंतर है।",hi,Fees_Accounts,fee_discrepancy,2,
1412,डाइटरी रिस्ट्रिक्शन वाले छात्रों के लिए बहुत कम विकल्प हैं।,hi,Canteen,menu_variety,2,
995,There is a sanitation and cleanliness problem near the 2nd floor corridor.,en,Infrastructure,sanitation_cleanliness,3,
706,Main 10 days se student portal mein login nahi kar pa raha.,hinglish,IT_Library,portal_account_access,3,
1315,The canteen seating area is not being cleaned properly.,en,Canteen,food_hygiene,2,
464,"I was charged Rs. 2,500 extra in my semester fee without explanation.",en,Fees_Accounts,fee_discrepancy,2,
390,मेरी दो परीक्षाएं Computer Networks सहित एक ही दिन पर हैं।,hi,Examinations,examination_schedule,2,
1391,Basic meal ki price quality ke comparison mein bohot zyada hai.,hinglish,Canteen,pricing,2,
368,The exam datesheet has a timing or date conflict with another subject's exam.,en,Examinations,examination_schedule,3,
919,Block C ground floor की क्लास का प्रोजेक्टर two weeks से खराब है।,hi,Infrastructure,classroom_lab_maintenance,3,
1409,"The canteen menu has not changed in months, and students want more variety.",en,Canteen,menu_variety,2,
772,We do not have access to the required software license in the lab.,en,IT_Library,software_license,3,
107,the faculty ने क्लास में छात्रों के साथ बहुत बुरा व्यवहार किया।,hi,Academics,faculty_conduct,2,
1161,"Palghar se students ko college aane mein around three hours lagte hain, long commute ki problem consider honi chahiye.",hinglish,Transport,commuting_accessibility,2,
